"spelling.errors","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"obiligation","obligation","obi ligation","obi-ligation","mobilization","litigation","ligation",NA,NA,NA,NA,NA,NA,NA,NA,NA
"highcourt","high court","high-court","courtship",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"reponsibility","responsibility","reprehensibility","reversibility","impressibility","sensibility",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"responsibilty","responsibility","responsibly","responsible",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"blowsup","blowup","blowups","blow sup","blow-sup","blows up","blows-up","blowout",NA,NA,NA,NA,NA,NA,NA,NA
"nitroglycerine","nitroglycerin","nitroglycerin e","triglyceride",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"multigenerational","multi generational","multi-generational","multinational","generalization",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eagerbeaver","eager beaver","eager-beaver","overeager","verbiage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lookingforward","looking forward","looking-forward","straightforward",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"appetent","appetite","apparent","tappet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gung","hung","gun","gunge","gungy","guns","sung","gang","rung","gong","lung","dung","mung","bung","gunk","Sung"
"ontime","onetime","on time","on-time","noontime","meantime","timezone","mention",NA,NA,NA,NA,NA,NA,NA,NA
"norally","morally","orally","normally","n orally","no rally","no-rally","nor ally","nor-ally","rally",NA,NA,NA,NA,NA,NA
"earlyier","earlier","early",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"schedualed","scheduled","schedule",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"busses","buses","susses","busies","basses","bosses","cusses","musses","pusses","bushes","fusses","wusses","buss's","buss es","buss-es","businesses"
"breakfest","breakfast","break fest","break-fest","breakfront",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brusing","busing","bruising","brushing","bruiting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"centuryex","century ex","century-ex","century",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"unawake","unaware","awaken","awake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"initia","initial","initiate","initiation","titian",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"successdriven","success driven","success-driven","successive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"selfsearching","self searching","self-searching","searching",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"intentioned","intention ed","intention-ed","intention","intervention","inattention","mentioned",NA,NA,NA,NA,NA,NA,NA,NA,NA
"seriousmindedness","serious mindedness","serious-mindedness","industriousness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"peirced","pierced","perceived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gages","gags","ages","gauges","gases","sages","rages","gates","gales","cages","games","mages","gapes","pages","wages","gazes"
"danglely","dangle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"componet","component","compo net","compo-net","completion","competent","compete",NA,NA,NA,NA,NA,NA,NA,NA,NA
"milkyway","milky way","milky-way","milky",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lifesustainable","life sustainable","life-sustainable","sustainable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"plante","planet","plant","plane","plate","planter","planted","platen","plants","pl ante","pl-ante","plant e","plangent",NA,NA,NA
"devestation","devastation","detestation","deforestation","destination","attestation","investigation",NA,NA,NA,NA,NA,NA,NA,NA,NA
"damageing","damaging","damaged","damage","damming",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"falts","flats","fats","alts","faults","felts","fasts","salts","farts","falls","facts","malts","halts","f alts","falters",NA
"calaifornia","californium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lifetaking","life taking","life-taking","lifesaving",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"landchanging","land changing","land-changing","changing","changeling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fransisco","transistor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"califorinia","californium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rictor","rector","victor","Victor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ritcher","richer","pitcher","hitcher","switcher","etcher",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mixxed","mixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"biuldings","buildings","bindings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"deriction","direction","depiction","dereliction","derivation","interdiction","detection",NA,NA,NA,NA,NA,NA,NA,NA,NA
"contry","country","contra","con try","con-try",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"maine","amine","Maine","main","mane","mine","marine","mains","maize","Taine","Paine","main e","matinee",NA,NA,NA
"compas","comps","comas","compass","compos","commas","comp's","com pas","com-pas","comp as","comp-as","compacts",NA,NA,NA,NA
"tenessee","tenseness","terseness","sedateness","steepness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"massechusettes","masterclasses",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carolinas","ocarinas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"oreintal","oriental","reinstall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eatsern","eastern","seawater",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"soxs","sons","sots","sols","sods","sous","sops","sobs","sows","SOS",NA,NA,NA,NA,NA,NA
"candyfilled","candy filled","candy-filled","candyfloss",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"paintedeggs","painted eggs","painted-eggs","painted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"easteregg","eggbeater",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"quadragesimal","quadrilateral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"welloff","selloff","well off","well-off","falloff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ight","it","eight","sight","night","right","tight","light","might","bight","fight","wight","Right",NA,NA,NA
"wellheeled","well heeled","well-heeled","wellhead","wheedled",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wellfixed","well fixed","well-fixed","wellhead",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"attractives","attractive","attractive s","attributives","accusatives","activates","restoratives",NA,NA,NA,NA,NA,NA,NA,NA,NA
"easyway","easy way","easy-way","seaway",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dassault","assault","d assault","somersault",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"moreau","marmoreal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"easygroup","easy group","easy-group","playgroup",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"easyjet","easy jet","easy-jet","easy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nonhard","non hard","non-hard","northward",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"exan","exam","Texan","exon","elan","ex an","ex-an","annex",NA,NA,NA,NA,NA,NA,NA,NA
"straighforward","straightforward","straightaway",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nurishment","nourishment","refurbishment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"reatraunt","treatment","entreat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"moneyy","money","moneys","money y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abtain","abstain","attain","obtain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"surival","survival","rival",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sustinence","abstinence","sustenance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"satisy","sassy","satisfy","satiny",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fufiling","fulfilling","filling","filings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"uninvitedly","uninvited","uninhibitedly","unitedly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tapwire","tap wire","tap-wire","wiretap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"conspiciously","conspicuously","consciously","suspiciously","auspiciously","conscientiously",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"papparatzi","paparazzi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"unloyal","loyal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wo","quo","ow","w","o","woe","won","wot","two","woo","wog","who","wok","wow","we","so"
"abridgement","abridgment","debridement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"financials","financial","financial s","finials",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rewriter","rewrite","rewrites","re writer","re-writer","rewrite r","rewritten","typewriter","writer","preterit",NA,NA,NA,NA,NA,NA
"nekam","amine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"timeconsuming","time consuming","time-consuming","consummating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"thinshelled","thin shelled","thin-shelled","thistledown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mprove","prove","improve","m prove","mp rove","mp-rove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"inbeds","in beds","in-beds","inbreeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brekfast","breakfast","breast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"makinf","making",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"inclosed","enclosed","in closed","in-closed","disclosed","inclined","closed",NA,NA,NA,NA,NA,NA,NA,NA,NA
"choline","holiness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"orchis","orchid","orchids","or chis","or-chis","orc his","orc-his",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bollock","bollocks","bullock","Pollock","block",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ballock","ballcock","bullock","callback",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"oospore","spore","spoor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"omelette","omelet","roomette","mettlesome",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aunty","aunt","aunts","runty","aunt y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"swiftfooted","swift footed","swift-footed","flatfooted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"largestof","largest of","largest-of","largess",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eggis","eggs","egg's","egg is","egg-is","aegis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"birdfoot","bird foot","bird-foot","barefoot",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"energe","emerge","renege","energy","enlarger","genera","engender",NA,NA,NA,NA,NA,NA,NA,NA,NA
"omlet","omelet","owlet","om let","om-let","hamlet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"offsprings","offspring","offspring's","off springs","off-springs","offspring s","offprints",NA,NA,NA,NA,NA,NA,NA,NA,NA
"omlete","omelet","complete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"featus","feats","fetus","flatus","feat's","feat us","feat-us","features",NA,NA,NA,NA,NA,NA,NA,NA
"ovul","ovule","oval","ovum","ovular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"orvery","ornery","or very","or-very","very",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"oology","zoology","geology","logy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"psychologicalfreudian","psychopharmacology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"narcissisticvain","narcissistic vain","narcissistic-vain","narcissistic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"selfimportance","self importance","self-importance","importance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pryimds","primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pharohs","pharaohs","pharaoh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cario","cardio","curio","cargo","Dario","Mario","carious","carrion",NA,NA,NA,NA,NA,NA,NA,NA
"pyraminds","pyramids","pyramid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"heiroglyphics","hieroglyphics","hieroglyphic","hieroglyphs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pyriamid","pyramid","pyrimidine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mummiies","mummies","mummifies","mummify",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pharoh","pharaoh","pharynx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pharoes","pharisees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"egyptions","eruptions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"egyption","encryption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pharoah","pharaoh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pharoahs","pharaohs","pharaoh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hyroglyphics","hieroglyphics","hieroglyphic","hieroglyphs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mummys","mummy","mummy's","mum mys","mum-mys","mummy s","mummers",NA,NA,NA,NA,NA,NA,NA,NA,NA
"sarcarphaguses","sarcophagus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sphynix","sphinx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pheros","pheromones",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"archeologists","archaeologists","archaeologist","hematologists","cardiologists","chronologists",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pharo","faro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nyle","Lyle","Pyle","Kyle","nybble",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"scorpians","scorpions","scorpion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pharophs","pharaohs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"emporers","emperors","empowers","remorse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"northeastafrican","northeastern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"storng","strong","storing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"uslim","slim","Muslim","u slim","muslin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pressence","prescience","presence","presences",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pharrohs","pharaohs","pharaoh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"prymids","pyramids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pyriamds","pyramids","myriads",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"coulture","couture","culture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pharhoas","pharaohs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pyrimids","pyramids","pyrimidines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bfe","bf","be","bee","bye","bf e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"octo","coot","onto","octopus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"octapus","octopus","octavos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"befor","before","befog","be for","be-for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brainiac","braininess",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"encephalon","encephalitic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"conceiver","conceive","conceives","conceived","conceive r","conniver","contriver","convergence","concern",NA,NA,NA,NA,NA,NA,NA
"postion","potion","position","potions","portion","post ion","post-ion","postilion",NA,NA,NA,NA,NA,NA,NA,NA
"electgod","elect god","elect-god","electrode",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fiveyear","five year","five-year","fiver",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"selet","sleet","select","settle","set",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"motercycle","motorcycle","cyclometer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nuemerous","numerous","onerous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"batteryoperated","battery operated","battery-operated","interpenetrated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"elctricity","electricity","electric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"galvanising","galvanizing","galvanism","singalong",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"electriciy","electricity","electrician","electric","electrify","electrolytic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"powerdriven","power driven","power-driven","overpowering",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"deviceof","device of","device-of","device",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carantonyms","car antonyms","car-antonyms","antonyms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"electricy","electric","electrics","electrify","electric y","electrolytic","tricycle",NA,NA,NA,NA,NA,NA,NA,NA,NA
"electicis","eclecticism","electives","eclectics","electrics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wirer","wire","wirier","wires","wiser","wired","wider","direr","wiper","firer","wire r",NA,NA,NA,NA,NA
"wireman","fireman","wire man","wire-man","venireman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fdsafdsa","sassafras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"electricute","electrocute","electricity","electrical","electric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"industrializaiton","industrialization","industrialize","industrialist","nonindustrial","postindustrial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"worklive","work live","work-live","liverwort",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"televison","television","televise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"microwav","microwave","microloan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"frankin","franking","frank in","frank-in","ranking","frank","infra",NA,NA,NA,NA,NA,NA,NA,NA,NA
"eddison","Addison","edition",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lightbulb","light bulb","light-bulb","bullfight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"convienent","convenient","convention","continent","convenience","conventicle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airconditioning","air conditioning","air-conditioning","preconditioning","conditioning","contraindicating","contraindication",NA,NA,NA,NA,NA,NA,NA,NA,NA
"kenetic","kinetic","genetic","ticket",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"electritions","electrocutions","electrification","electrocution","electricians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nessesary","necessary","pessary","nearness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anodic","anodize",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"spieces","spices","pieces","species","s pieces","spice","cesspits","specie","cesspit",NA,NA,NA,NA,NA,NA,NA
"wrinkely","wrinkly","wrinkle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"transpportation","transportation","transplantation","transpiration","transposition","transformation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"heacy","heavy","heady","headache",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"selfaware","self aware","self-aware","welfare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"africian","patrician",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hannible","mandible",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"grayskinned","gray skinned","gray-skinned","skinned",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"savannahs","savannas","savanna's","savanna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"africaasia","fricassee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"greyishbrown","brownish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vetitation","vegetation","levitation","invitation","visitation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"conavor","corona",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bluegrey","bluegrass",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"reprouduce","reproduce","outproduce","producer","procedure","produce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"travles","travels","traverses",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"clumbsy","clumsy","clumsily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"browm","brown","brow","brows","broom","brow m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"animial","animal","minimal","maniacal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"grandical","radical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wich","winch","witch","which","wish","rich","with","wick","Rich","Mich",NA,NA,NA,NA,NA,NA
"autority","authority","austerity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"doubledigit","double digit","double-digit","doublet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nisse","nisei","anise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fictitional","fictional","frictional","factional","functionality","functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"atbefore","at before","at-before","before","reformat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"audiance","audience","radiance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"selfconscious","self conscious","self-conscious","semiconscious","consciousnesses","consciousness","conscientious",NA,NA,NA,NA,NA,NA,NA,NA,NA
"opps","pops","oops","opp","ops","opes","apps","opts","opus","op's","opp s",NA,NA,NA,NA,NA
"humilliate","humiliate","illuminate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"situaiton","situation","situate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"selfinduced","self induced","self-induced","selfishness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"excellorated","expectorated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sposed","posed","spored","s posed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mould","mold","mound","could","would","Gould",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pointthe","point the","point-the","pointed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"truble","ruble","trouble","treble","t ruble","rubble",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dotors","doors","doctors","doters","donors","rotors","motors","do tors","do-tors",NA,NA,NA,NA,NA,NA,NA
"scray","scary","cray","crays","stray","scrag","scram","scrap","spray","s cray",NA,NA,NA,NA,NA,NA
"sisuation","situation","insinuation","substation","visitation","satiation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"surjury","usury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amublance","ambulance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"banruptcy","bankruptcy","bankrupt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"emojii","emoji","emojis","emoji i","emotive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dramtisize","dramatize",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"smilie","smile","simile","smiling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ims","ism","oms","ins","is","ms","isms","sims","aims","rims","dims","imps","hims","Sims","sim","ems"
"feelilngs","feelings","feeling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"emotionany","emotion any","emotion-any","emotional","emotion","emanation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sence","seance","scene","sense","since","pence","hence","fence","essence","sentence","absence","incense",NA,NA,NA,NA
"masive","massive","evasive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"myas","mys","mas","mynas","yams","meas","my as","my-as",NA,NA,NA,NA,NA,NA,NA,NA
"boba","bobs","bob","boa","bola","boga","bob a","baobab",NA,NA,NA,NA,NA,NA,NA,NA
"fett","fete","feet","fest","sett","feta","feat","felt","fettle","fetter",NA,NA,NA,NA,NA,NA
"alexandar","calendar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"comparedin","compare din","compare-din","compared in","compared-in","comparison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"emporer","emperor","empower","extempore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"notselfemployed","underemployed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wageearner","wage earner","wage-earner","wagerer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nonexecutive","non executive","non-executive","nonconsecutive","executioner","consecutive","executive",NA,NA,NA,NA,NA,NA,NA,NA,NA
"panera","pan era","pan-era","spanner","pane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"decisionmaker","decision maker","decision-maker","decisions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hiresfires","hires fires","hires-fires","misfires","firesides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
